incident_id,date,description,city,state,location,attack_type,ideology,subideology,group,location_type,israel_zionism_related,predicted_category,terms_detected,source,processed_date
68802,2024-12-31,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Forward for a new American nation state"" and ""Life, liberty, victory.""",Trussville,AL,"Trussville, AL",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68805,2024-12-31,"A group of individuals were causing a disturbance and when asked to leave they said, ""Jews.""",Boston,MA,"Boston, MA",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68806,2024-12-31,A group of teenagers made antisemitic remarks in earshot of a Jewish person.,Marblehead,MA,"Marblehead, MA",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68807,2024-12-31,"Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read: ""No Zionists in government."" The group also spray-painted stencils and posted stickers that read: ""United we stand,"" ""For a new American nation state,"" ""Strong families, strong nations,"" ""Defend American labor"" and ""America first.""",Winston-Salem,NC,"Winston-Salem, NC",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68808,2024-12-31,"A Jewish organization received an antisemitic email that read: ""We will burn that rodent road you call [newspaper's address] and send you Devil Worshiping Kikes to hell, where you belong.""",Pittsburgh,PA,"Pittsburgh, PA",Antisemitic Incident: Harassment,,,,Jewish Institution / School,,Antisemitism,,refined,2025-12-16
68810,2024-12-31,A middle school was vandalized with antisemitic and racist symbols.,Mercer Island,WA,"Mercer Island, WA",Antisemitic Incident: Vandalism,,,,Non-Jewish School,,Antisemitism,,refined,2025-12-16
68811,2024-12-31,"Patriot Front, the white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation"" and ""Life, liberty, victory.""",La Crosse,WI,"La Crosse, WI",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
70362,2024-12-31,"An individual in a passing car yelled at a visibly Jewish man, ""Why are you wearing a yarmulke? Take it off. If I come around here again and you are wearing that, I will kill you.""",Queens,NY,"Queens, NY",Antisemitic Incident: Harassment,,,,Home/Housing,,Antisemitism,,refined,2025-12-16
70378,2024-12-31,A high school student harassed and shoved a Jewish classmate at a house party after they had had an online argument about the war between Israel and Hamas.,Longmont,CO,"Longmont, CO",Antisemitic Incident: Assault,,,,Home/Housing,1.0,Antisemitism,,refined,2025-12-16
71287,2024-12-31,A swastika was drawn with chalk in front of a bus stop.,Silver Spring,MD,"Silver Spring, MD",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
