incident_id,date,description,city,state,location,attack_type,ideology,group,case_number,heat_map_id,source,processed_date
55035,2023-12-31,Balls were arranged to form a swastika at a public park.,Delaware,Ohio,"Delaware, Ohio",Antisemitic Incident: Harassment,,,116884,55035,raw,2025-12-16
54433,2023-12-31,"A swastika and the words, ""Don't be Jewish"" were drawn on a USPS mailbox.",Jersey City,New Jersey,"Jersey City, New Jersey",Antisemitic Incident: Vandalism,,,116888,54433,raw,2025-12-16
55033,2023-12-31,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,Houston,Texas,"Houston, Texas",Antisemitic Incident: Harassment,,,116891,55033,raw,2025-12-16
63717,2024-01-01,"A Jewish and Israeli individual received a threatening antisemitic direct message on Instagram that read: ""May this rockets [sic] hit u next time. This is what u deserve for defending this fucking genocide?[sic].""",Manhattan,New York,"Manhattan, New York",Antisemitic Incident: Harassment,,,116893,63717,raw,2025-12-16
54432,2023-12-31,A sign calling for the return of Israeli hostages at a synagogue was vandalized (the third time this synagogue was vandalized in one month.),Baltimore,Maryland,"Baltimore, Maryland",Antisemitic Incident: Vandalism,,,116911,54432,raw,2025-12-16
55032,2023-12-31,A synagogue was targeted with an antisemitic bomb threat.,Winston-Salem,North Carolina,"Winston-Salem, North Carolina",Antisemitic Incident: Harassment,,,116912,55032,raw,2025-12-16
63538,2024-01-02,"Antisemitic letters to the editor appeared in a newspaper. They read, in part: ""Jewish supremacy in the United States is in its final days, thanks in large part to the racist, fascist regime in Israel's unforgivable war crimes being broadcast to the public"" and ""Benjamin Netanyahu is the worst kind of Nazi--a Jewish Nazi (just like Adolf Hitler himself).""",Tucson,Arizona,"Tucson, Arizona",Antisemitic Incident: Harassment,,,116916,63538,raw,2025-12-16
63924,2024-01-02,A synagogue received an antisemitic bomb threat.,Santa Ana,California,"Santa Ana, California",Antisemitic Incident: Harassment,,,116928,63924,raw,2025-12-16
63587,2024-01-02,A synagogue received an antisemitic bomb threat.,Newport Beach,California,"Newport Beach, California",Antisemitic Incident: Harassment,,,116920,63587,raw,2025-12-16
63725,2024-01-02,A synagogue received an antisemitic bomb threat.,Westminster,California,"Westminster, California",Antisemitic Incident: Harassment,,,116923,63725,raw,2025-12-16
