Date of Incident,Case Number,HEAT Map ID,Audit/HEAT Map Text,City of Incident,State of Incident,Type of Attack,Ideology,Group
2023-09-30,124949,52203,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""NJP.""",Port Byron,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124950,52207,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""NJP.""",Williamsville,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124951,52208,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""Confronting the anti-White system.""",Mesa,Arizona,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124952,52202,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""White unity.""",San Clemente,California,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124953,52205,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""White strike.""",Poughkeepsie,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124954,52206,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted stickers at Lone Star Community College that read: ""Texas NJP"" and ""Confronting the anti-White system.""",Houston,Texas,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124945,52201,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""Defund the FBI.""",Avon,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124946,52210,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""Confronting the anti-White system.""",Buffalo,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124947,52209,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted a sticker that read: ""Confronting the anti-White system.""",Scottsdale,Arizona,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,124948,52204,"Individuals associated with the National Justice Party (NJP), a white supremacist group, posted stickers that read: ""NJP"" and ""Confronting the anti-White system.""",Lakeville,New York,White Supremacist Propaganda,Right Wing (White Supremacist),National Justice Party (NJP)
2023-09-30,123705,54297,Approximately four individuals associated with the anti-LGBTQ+ extremist coalition Gays Against Groomers (GAG) protested an LGBTQ-friendly sex shop over the fact that the shop owners identify as ?proudly queer and polyamorous and believe it?s vital to provide a ?safe space? for children.? Protestors held signs that read: ?Stop grooming children? and ?Let kids be kids.?,Port Orchard,Washington,Anti-LGBTQ+ Incident: Harassment,,
2023-09-30,123822,51524,"Bay State Active Club, a white supremacist group, distributed propaganda that read: ?Defend The White Race.?",Millbury,Massachusetts,White Supremacist Propaganda,Right Wing (White Supremacist),Active Clubs
2023-09-30,123824,51525,"Approximately three individuals associated with Las Vegas Active Club, a white supremacist group, held a small roadside demonstration. Members held a banner that read: ?Justice For Andy? and advertised the group?s social media. The demonstration was in memorial to former California police chief Andreas Probst, who was killed in a hit-and-run in Las Vegas in August 2023. The group later posted on Telegram, ?Whites should always show solidarity with their own when they are victimized at the hands of subhumans.?",Las Vegas,Nevada,White Supremacist Propaganda,Right Wing (White Supremacist),Active Clubs
2023-09-30,126779,62218,A Star of David and a swastika were spray-painted on a public sidewalk.,Queens,New York,,,
2023-09-30,131191,56813,Approximately five individuals associated with the white supremacist network White Lives Matter (WLM) protested the ?Pride in Payson? event where they held a banner that read: ?Go Home Groomers.?,Payson,Arizona,White Supremacist Event; Anti-LGBTQ+ Incident: Harassment,,White Lives Matter (WLM)
2023-10-01,105534,56822,Spree,Weatherford,Texas,Antisemitic Incident: Harassment; White Supremacist Propaganda,,
2023-10-01,105535,52591,"Individuals associated with Patriot Front,  a white supremacist group,  posted a sticker that read: ""United we stand.""",Cockeysville,Maryland,White Supremacist Propaganda,Right Wing (White Supremacist),Patriot Front (PF)
2023-10-01,105538,56817,An individual was harassed by a neighbor who made antisemitic comments.,Washington,Washington D.C.,Antisemitic Incident: Harassment,,
2023-10-01,105540,56823,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential area that read: ""Every single aspect of mass immigration is Jewish"" and ""Every single aspect of gun control is Jewish.""",Sonoma,California,Antisemitic Incident: Harassment; White Supremacist Propaganda,Right Wing (White Supremacist),Goyim Defense League (GDL)
2023-10-01,105545,54049,"Individuals associated with the Trinity White Knights (TWK) of the Ku Klux Klan distributed racist, antisemitic, and anti-LGBTQ+ fliers to a residential neighborhood. The fliers read: ""Why Trinity White Knights KKK? Homosexuals, race mixers, lawless Jews.""",Columbia,Tennessee,Antisemitic Incident: Harassment; White Supremacist Propaganda; Anti-LGBTQ+ Incident: Harassment,Right Wing (White Supremacist),Trinity White Knights
2023-10-01,105551,56826,"An individual stated, ""I will beat you like Hitler"" to a visibly Jewish person on the street.",Brooklyn,New York,Antisemitic Incident: Harassment,,
2023-10-01,105591,56824,Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential area.,State College,Pennsylvania,Antisemitic Incident: Harassment; White Supremacist Propaganda,,Goyim Defense League (GDL)
2023-10-01,105607,58903,"An individual yelled: ""What are your views on Palestine you fucking kikes"" at a visibly Jewish family.",Brighton,Massachusetts,,,
2023-10-01,107088,56818,An individual made several antisemitic comments to their roommate.,Manhattan,New York,Antisemitic Incident: Harassment,,
2023-10-01,107093,56825,"Individuals associated with the antisemitic Goyim Defense League and neo-Nazi Aryan Freedom Network distributed propaganda in a residential area that read: ""It's Okay to be White"" and ""The Protocols of the Learned Elders of Zion.""",Portland,Maine,Antisemitic Incident: Harassment; White Supremacist Propaganda,Right Wing (White Supremacist),Goyim Defense League (GDL)
