id,date,city,state,type,ideology,subideology,group,description,image,location_type,type_of_attack,israel_zionism_related
68802,12/31/2024,Trussville,AL,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Forward for a new American nation state"" and ""Life, liberty, victory.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68805,12/31/2024,Boston,MA,Antisemitic Incident:Harassment,,,,"A group of individuals were causing a disturbance and when asked to leave they said, ""Jews.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Harassment,
68806,12/31/2024,Marblehead,MA,Antisemitic Incident:Harassment,,,,A group of teenagers made antisemitic remarks in earshot of a Jewish person.,,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Harassment,
68807,12/31/2024,Winston-Salem,NC,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read: ""No Zionists in government."" The group also spray-painted stencils and posted stickers that read: ""United we stand,"" ""For a new American nation state,"" ""Strong families, strong nations,"" ""Defend American labor"" and ""America first.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68808,12/31/2024,Pittsburgh,PA,Antisemitic Incident:Harassment,,,,"A Jewish organization received an antisemitic email that read: ""We will burn that rodent road you call [newspaper's address] and send you Devil Worshiping Kikes to hell, where you belong.""",,Jewish Institution / School,Antisemitic Incident: Harassment,
68810,12/31/2024,Mercer Island,WA,Antisemitic Incident:Vandalism,,,,A middle school was vandalized with antisemitic and racist symbols.,,Non-Jewish School,Antisemitic Incident: Vandalism,
68811,12/31/2024,La Crosse,WI,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, the white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation"" and ""Life, liberty, victory.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
70362,12/31/2024,Queens,NY,Antisemitic Incident:Harassment,,,,"An individual in a passing car yelled at a visibly Jewish man, ""Why are you wearing a yarmulke? Take it off. If I come around here again and you are wearing that, I will kill you.""",,Home/Housing,Antisemitic Incident: Harassment,
70378,12/31/2024,Longmont,CO,Antisemitic Incident:Assault,,,,A high school student harassed and shoved a Jewish classmate at a house party after they had had an online argument about the war between Israel and Hamas.,,Home/Housing,Antisemitic Incident: Assault,1
71287,12/31/2024,Silver Spring,MD,Antisemitic Incident:Harassment,,,,A swastika was drawn with chalk in front of a bus stop.,,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Harassment,
71494,12/31/2024,Brooklyn,NY,Antisemitic Incident:Harassment,,,,"A student at Pace University received threatening antisemitic messages on Instagram, possibly from a fellow student.",,College/University,Antisemitic Incident: Harassment,
71495,12/31/2024,Manhattan,NY,Antisemitic Incident:Harassment,,,,An individual threatened a Jewish person with a pair of scissors in a public area.,,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Harassment,
71496,12/31/2024,Bronx,NY,Antisemitic Incident:Harassment,,,,An individual received a threatening antisemitic phone call from an unknown source.,,Other,Antisemitic Incident: Harassment,
73042,12/31/2024,Boston,MA,Antisemitic Incident:Harassment,,,,"At an anti-Israel rally organized by the Party for Socialism and Liberation, the Palestinian Youth Movement and Jewish Voice for Peace, protesters chanted, ""Yemen, Yemen, make us proud, turn another ship around,"" a slogan used to support the actions of the Houthis, an antisemitic U.S.-designated terrorist group.",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Harassment,1
68443,12/30/2024,Fort Myers,FL,Antisemitic Incident:Harassment,,,,"A Jewish individual received a text from an anonymous individual that read: ""Fuck you, Jew.""",,Other,Antisemitic Incident: Harassment,
68778,12/30/2024,Exeter,CA,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""Free occupied America,"" ""For the nation, against the state,"" ""Not stolen, conquered"" and ""No Zionists in government, we serve one nation.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68779,12/30/2024,Hanford,CA,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""For the nation, against the state,"" ""Reclaim America,"" ""Not stolen, conquered"" and ""No Zionists in government, we serve one nation.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68780,12/30/2024,La Mesa,CA,Antisemitic Incident:Harassment,,,,"Messages were placed on a Jewish person's apartment door that read: ""Gas all the Jews starting with the bitch that lives here,"" ""From the river to the sea,"" and ""Warning, a fucking Jewish genocider [sic] lives here.""",,Home/Housing,Antisemitic Incident: Harassment,1
68781,12/30/2024,Tulare,CA,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""America first,"" ""Not stolen, conquered,"" ""Free occupied America"" and ""No Zionists in government, we serve one nation.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68782,12/30/2024,Visalia,CA,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""For the nation, against the state,"" ""No Zionists in government, we serve one nation,"" and ""Reclaim America.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
68783,12/30/2024,Arvada,CO,Antisemitic Incident:Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, posted stickers that read: ""We dare to defend our rights,"" ""No Zionists in government, we serve one nation,"" and ""Patriot Front.""",,Public Area (Park/Street/Transit/Building),Antisemitic Incident: Vandalism,1
