incident_id,incident_text,top_match_term,top_match_category,top_match_score,second_match_term,second_match_score,third_match_term,third_match_score
59706,"At an anti-Israel rally, protesters chanted, ""From the river to the sea, Palestine will be free"" and ""LAPD, KKK, IDF you're all the same.""",Open borders for Israel,Slogans / Code words,0.5602543354034424,Zionazi,0.5422276258468628,The Popular Front for the Liberation of Palestine,0.5222551822662354
59785,"At an anti-Israel rally, protesters held signs with messages such as: ""From the river to the sea, Palestine will be free.""",Open borders for Israel,Slogans / Code words,0.5234336256980896,Zionazi,0.4868193566799164,The Popular Front for the Liberation of Palestine,0.47951167821884155
59926,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance against occupation is a human right"" and ""Stand with Palestinian resistance.""",Inverted Red Triangle,Numbers / Symbols,0.5496565103530884,People's Rights,0.4996353089809418,Palestinian Youth Movement (PYM),0.4783046245574951
59988,"At an anti-Israel rally, protesters held signs with messages such as: ""Zionism is terrorism"" and ""Stop funding Hitler"" featuring an image of Benjamin Netanyahu with a Hitler mustache.",Zionazi,Slogans / Code words,0.6010024547576904,((())),0.5542371273040771,Stop Zionist Hate,0.5471652746200562
59990,"At an anti-Israel rally, protesters held signs with messages such as: ""Long live the intifada."" Protesters also chanted, ""There is only one solution: intifada revolution.""",Inverted Red Triangle,Numbers / Symbols,0.4979306757450104,Al-Awda: The Palestine Right to Return Coalition,0.4861724376678467,Dancing Israelis,0.47949865460395813
60122,"At an anti-Israel rally, protesters held signs with messages such as: ""Queers 4 Intifada"" and ""Different flags, same hate"" with an image combining a Nazi flag and an Israeli flag. Protesters also chan",Inverted Red Triangle,Numbers / Symbols,0.5939064025878906,HATE (symbol),0.5510146021842957,Zionazi,0.545488178730011
60146,"At an anti-Israel rally, protesters chanted, ""From the river to the sea, Palestine will be free.""",Open borders for Israel,Slogans / Code words,0.5195682048797607,Free the Boys,0.5043908357620239,Zionazi,0.47293534874916077
60216,"At an anti-Israel rally, protesters held signs with messages such as: ""Resist and return."" Protesters also chanted, ""From the river to the sea, Palestine will be free.""",Open borders for Israel,Slogans / Code words,0.5186642408370972,Inverted Red Triangle,0.5021772384643555,Zionazi,0.49572646617889404
60351,"At an anti-Israel rally, protesters held signs with messages such as: ""Intifada until victory"" and ""Victory to the Palestinian resistance.""",Inverted Red Triangle,Numbers / Symbols,0.5581541657447815,Sieg Heil symbol,0.5255201458930969,Zionazi,0.5084725618362427
61123,"At an anti-Israel rally, protesters held signs with messages such as: ""From the river to the sea.""",Inverted Red Triangle,Numbers / Symbols,0.5151827931404114,Open borders for Israel,0.48197197914123535,Zionazi,0.47238802909851074
61624,Members of the antisemitic and anti-Israel group Witness for Peace protested outside a synagogue during Shabbat services.,Henry Herskovitz,People,0.452645480632782,"Unity of Fields, formerly known as Palestine Action U.S",0.4428509771823883,Tax Protest Movement,0.41279709339141846
62223,A Star of David and other symbols were drawn on a residential building.,Black flags,Numbers / Symbols,0.46635445952415466,St. Michael's Cross,0.4502672851085663,Sonnenrad,0.42791175842285156
62314,An individual attempted to enter a synagogue with a weapon.,Colleyville Synagogue Attack,Incidents / Events,0.5157755613327026,Jersey City Kosher Market Shooting,0.467058926820755,Pittsburgh synagogue shooting,0.4588409662246704
55031,"An online class hosted by a synagogue was disrupted by individuals who played pornographic content, made antisemitic comments and drew swastikas.",Zoombombing,"Key Concepts / Definitions, Tactics",0.514361560344696,Stop Zionist Hate,0.4727436304092407,Antisemitism,0.4286399185657501
58546,Swastika graffiti was left on a bus stop.,Swastika,Numbers / Symbols,0.52144455909729,Burning Neo-Nazi Symbols,0.5019734501838684,Hakenkreuz Skinheads,0.47332730889320374
58581,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government. We serve one nation, "" ""Reclaim America, "" ""Not stolen, conquered"" and ""America first.""",Zionazi,Slogans / Code words,0.6011948585510254,Open borders for Israel,0.5850626230239868,Patriot Front,0.5844781994819641
58582,"Six members of the white supremacist Clockwork Crew and the antisemitic Goyim Defense League hung an antisemitic banner over an undetermined highway. The banner read: ""Judaism made Epstein"" and other ",Da Goyim Know,Slogans / Code words,0.5884567499160767,Goyim Defense League,0.5568773150444031,Zionazi,0.5560022592544556
58583,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation, "" ""Reclaim America, "" ""American spirit, European blood"" and ""Forward for a new Ame",Patriot Front,Groups / Movements,0.6380570530891418,Open borders for Israel,0.5930261611938477,Zionazi,0.5910476446151733
58584,"Patriot Front, a white supremacist group, posted stickers that read: ""American spirit, European blood, "" ""For the nation against the state, "" ""No Zionists in government, we serve one nation, "" and ""Am",Patriot Front,Groups / Movements,0.6814802885055542,American Front,0.6169008612632751,Vanguard America,0.6045848727226257
58585,"Patriot Front, a white supremacist group posted stickers that read: ""No Zionists in government, we serve one nation, "" ""Reject poison, "" ""America first, "" ""Not stolen, conquered"" and ""Forward for a ne",Patriot Front,Groups / Movements,0.6328686475753784,Vanguard America,0.5888256430625916,Zionazi,0.5865989327430725
59182,"At an anti-Israel rally, a speaker stated, ""We here in the United States have a duty to stand up in unconditional solidarity with the Palestinian resistance.""",Henry Herskovitz,People,0.5220839381217957,U.S. Palestinian Community Network (USPCN),0.49238264560699463,461,0.48429039120674133
59417,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance against occupation is a human right.""",People's Rights,Groups / Movements,0.5452989935874939,Inverted Red Triangle,0.4796832501888275,Al-Awda: The Palestine Right to Return Coalition,0.4500560164451599
59761,"At an anti-Israel rally, protesters held signs with messages such as: ""Zionism is terrorism.""",Zionazi,Slogans / Code words,0.6011123657226562,Inverted Red Triangle,0.5309110879898071,Stop Zionist Hate,0.5123180150985718
59851,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance against occupation is a human right"" and ""Resistance is justified when people are occupied.""",People's Rights,Groups / Movements,0.5131320357322693,Inverted Red Triangle,0.47857365012168884,Zionazi,0.4618222117424011
60299,"At an anti-Israel rally, a protesters held signs with messages such as: ""Resistance against occupation is a human right."" Protesters also chanted, ""Twisted lies and corrupt news; we fight the Zionists",Henry Herskovitz,People,0.5344308018684387,Al-Awda: The Palestine Right to Return Coalition,0.5310360193252563,Zionazi,0.5229416489601135
55030,A swastika was drawn in chalk at a public park.,Swastika,Numbers / Symbols,0.5679560899734497,Burning Neo-Nazi Symbols,0.4820825755596161,SS Hand Sign Symbol,0.47304731607437134
58526,"Approximately six individuals associated with Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read, ""Merchants have no nation.""",Patriot Front,Groups / Movements,0.6247369050979614,Stormfront,0.5676504373550415,Florida Nationalists,0.546451985836029
58541,"Patriot Front, a white supremacist group distributed propaganda that read: ""No more foreign wars,"" ""Strong families, strong nations,"" ""No Zionists in government; we serve one nation"" and ""America firs",Patriot Front,Groups / Movements,0.6420403718948364,Operation Homeland,0.6018070578575134,Nationalist Front,0.5946202278137207
58542,"Patriot Front, a white supremacist group distributed propaganda and posted stickers that read: ""No Zionists in government. We serve one nation, "" ""Reclaim America, "" ""America first"" and ""Strong famili",Patriot Front,Groups / Movements,0.6082887053489685,Vanguard America,0.5733335614204407,Z.O.G. (Zionist Occupied Government),0.5715407729148865
58543,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation, "" ""We dare to defend our rights, "" ""Forward for a new American nation state, "" ""Un",Patriot Front,Groups / Movements,0.6462035179138184,Zionazi,0.591378390789032,Vanguard America,0.5802457928657532
58544,"Patriot Front, a white supremacist group posted stickers that read: ""Not stolen, conquered, "" ""No Zionists in government, we serve one nation, "" ""Free occupied America"" and ""We dare to defend our righ",Patriot Front,Groups / Movements,0.641569197177887,Stormfront,0.5834434032440186,Silent Aryan Warriors,0.5614360570907593
58545,"Patriot Front, a white supremacist group, posted stickers that read: ""Better dead than red, "" ""No Zionists in government, we serve one nation, "" ""Reclaim America"" and ""For the nation, against the stat",Patriot Front,Groups / Movements,0.6507600545883179,Florida Nationalists,0.5776113271713257,Vanguard America,0.5755678415298462
54430,"A large public menorah was vandalized with: "" FreePalestine.""",Burning Neo-Nazi Symbols,Numbers / Symbols,0.4133794605731964,Name the Nose tour,0.3961137533187866,Pittsburgh synagogue shooting,0.39389440417289734
54434,A swastika was carved into a tree in a public area.,Swastika,Numbers / Symbols,0.5651881098747253,Burning Neo-Nazi Symbols,0.4912479519844055,Nazi Eagle,0.4808536767959595
59304,"At an anti-Israel rally, protesters held signs with messages such as: ""Support Palestinian resistance,"" ""Revolution until victory,"" ""By any means necessary, ""Zionism is terrorism and ""Zionism is genoc",Zionazi,Slogans / Code words,0.6261913776397705,Inverted Red Triangle,0.5688287019729614,Stop Zionist Hate,0.5330867171287537
60405,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance is justified when people are occupied"" and ""From the river to the sea.""",Inverted Red Triangle,Numbers / Symbols,0.5308955311775208,Open borders for Israel,0.4776396155357361,Zionazi,0.4735977053642273
60700,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
60872,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
60952,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61037,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61056,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61164,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61171,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61223,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61534,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61606,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61711,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
61748,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
61845,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61848,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61849,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
61955,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
61974,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
62006,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62010,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
62073,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62211,A pro-Israel sign was vandalized at a synagogue for the second time in a month.,Zionazi,Slogans / Code words,0.511124849319458,((())),0.4538567066192627,Synagogue of Satan,0.4504755735397339
62356,An individual received antisemitic text messages.,Stop Zionist Hate,Groups / Movements,0.5238704681396484,((())),0.49268022179603577,Zionazi,0.48874610662460327
62369,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
62389,"An individual reported that her neighbor came on her property and accused her of ""working for the Jews."" When Patrol Officers spoke with the offender, she said that the streets needed to be ""cleansed ",Jew coup,Slogans / Code words,0.4865567684173584,Jewish Supremacism: My Awakening on the Jewish Question,0.47452330589294434,Jew-ish,0.4729236364364624
55038,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007552742958069,Operation Kristallnacht,0.5907955169677734,Colleyville Synagogue Attack,0.5790477395057678
55054,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58503,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58504,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58505,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58506,"A public mural was vandalized with ""1488.""",Crew 1488,Groups / Movements,0.5016341805458069,88,0.44704103469848633,14,0.42985761165618896
58507,Antisemitic graffiti was found drawn on the window of a business.,Burning Neo-Nazi Symbols,Numbers / Symbols,0.4919082522392273,Zionazi,0.4902726411819458,((())),0.47573867440223694
58508,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007552742958069,Operation Kristallnacht,0.5907955169677734,Colleyville Synagogue Attack,0.5790477395057678
58509,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
