incident_id,date,description,city,state,location,attack_type,ideology,group,case_number,heat_map_id,source,processed_date,predicted_term,predicted_term_machine,confidence,base_similarity,frequency_in_training,related_terms,method,secondary_matches,manual_term,is_correct,confidence_level,year,month,quarter,description_short
55035,2023-12-31,Balls were arranged to form a swastika at a public park.,Delaware,Ohio,"Delaware, Ohio",Antisemitic Incident: Harassment,,,116884,55035,raw,2025-12-16,Swastika,Numbers / Symbols,0.6211982650756835,0.5541982650756836,0,[],graph_enhanced,"[{'term': 'Burning Neo-Nazi Symbols', 'score': 0.48685890436172485}, {'term': 'Syringe Swastika', 'score': 0.4570215344429016}]",Antisemitism,0,Medium,2023,12,4,Balls were arranged to form a swastika at a public park.
54433,2023-12-31,"A swastika and the words, ""Don't be Jewish"" were drawn on a USPS mailbox.",Jersey City,New Jersey,"Jersey City, New Jersey",Antisemitic Incident: Vandalism,,,116888,54433,raw,2025-12-16,Swastika,Numbers / Symbols,0.6057367010116577,0.5387367010116577,0,[],graph_enhanced,"[{'term': 'Burning Neo-Nazi Symbols', 'score': 0.5366012454032898}, {'term': '((()))', 'score': 0.4764629602432251}]",Antisemitism,0,Medium,2023,12,4,"A swastika and the words, ""Don't be Jewish"" were drawn on a USPS mailbox."
55033,2023-12-31,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,Houston,Texas,"Houston, Texas",Antisemitic Incident: Harassment,,,116891,55033,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6986280961036682,0.6316280961036682,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.603920578956604}, {'term': 'Operation Kristallnacht', 'score': 0.5955498218536377}]",Antisemitism,0,Medium,2023,12,4,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63717,2024-01-01,"A Jewish and Israeli individual received a threatening antisemitic direct message on Instagram that read: ""May this rockets sic hit u next time. This is what u deserve for defending this fucking genocide? sic .""",Manhattan,New York,"Manhattan, New York",Antisemitic Incident: Harassment,,,116893,63717,raw,2025-12-16,Stop Zionist Hate,Groups / Movements,0.545029723962148,0.5446963906288147,0,[],graph_enhanced,"[{'term': 'Zionazi', 'score': 0.5218326449394226}, {'term': 'Da Goyim Know', 'score': 0.48890984058380127}]",Antisemitism,0,Medium,2024,1,1,"A Jewish and Israeli individual received a threatening antisemitic direct message on Instagram that read: ""May this rockets sic hit u next time. This is what u deserve for defending this fucking genocide? sic ."""
54432,2023-12-31,A sign calling for the return of Israeli hostages at a synagogue was vandalized (the third time this synagogue was vandalized in one month.),Baltimore,Maryland,"Baltimore, Maryland",Antisemitic Incident: Vandalism,,,116911,54432,raw,2025-12-16,Colleyville Synagogue Attack,Incidents / Events,0.5288937651316324,0.4952270984649658,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.4750155508518219}, {'term': 'Operation Kristallnacht', 'score': 0.4696539044380188}]",Antisemitism,0,Medium,2023,12,4,A sign calling for the return of Israeli hostages at a synagogue was vandalized (the third time this synagogue was vandalized in one month.)
55032,2023-12-31,A synagogue was targeted with an antisemitic bomb threat.,Winston-Salem,North Carolina,"Winston-Salem, North Carolina",Antisemitic Incident: Harassment,,,116912,55032,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6677552742958068,0.6007552742958069,0,[],graph_enhanced,"[{'term': 'Operation Kristallnacht', 'score': 0.5907952785491943}, {'term': 'Colleyville Synagogue Attack', 'score': 0.579047679901123}]",Antisemitism,0,Medium,2023,12,4,A synagogue was targeted with an antisemitic bomb threat.
63538,2024-01-02,"Antisemitic letters to the editor appeared in a newspaper. They read, in part: ""Jewish supremacy in the United States is in its final days, thanks in large part to the racist, fascist regime in Israel's unforgivable war crimes being broadcast to the public"" and ""Benjamin Netanyahu is the worst kind of Nazi--a Jewish Nazi (just like Adolf Hitler himself).""",Tucson,Arizona,"Tucson, Arizona",Antisemitic Incident: Harassment,,,116916,63538,raw,2025-12-16,The Barnes Review (TBR),Publications,0.5981919132868448,0.5645252466201782,0,[],graph_enhanced,"[{'term': 'Jew coup', 'score': 0.558613657951355}, {'term': 'Jewish Supremacism: My Awakening on the Jewish Question', 'score': 0.5553432703018188}]",Antisemitism,0,Medium,2024,1,1,"Antisemitic letters to the editor appeared in a newspaper. They read, in part: ""Jewish supremacy in the United States is in its final days, thanks in large part to the racist, fascist regime in Israel's unforgivable war crimes being broadcast to the public"" and ""Benjamin Netanyahu is the worst kind of Nazi--a Jewish Nazi (just like Adolf Hitler himself)."""
63924,2024-01-02,A synagogue received an antisemitic bomb threat.,Santa Ana,California,"Santa Ana, California",Antisemitic Incident: Harassment,,,116928,63924,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63587,2024-01-02,A synagogue received an antisemitic bomb threat.,Newport Beach,California,"Newport Beach, California",Antisemitic Incident: Harassment,,,116920,63587,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63725,2024-01-02,A synagogue received an antisemitic bomb threat.,Westminster,California,"Westminster, California",Antisemitic Incident: Harassment,,,116923,63725,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
