incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
55035,2023-12-31,Numbers / Symbols,Antisemitism,Ohio,2023,12,2023-12,4
54433,2023-12-31,Numbers / Symbols,Antisemitism,New Jersey,2023,12,2023-12,4
55033,2023-12-31,Incidents / Events,Antisemitism,Texas,2023,12,2023-12,4
63717,2024-01-01,Groups / Movements,Antisemitism,New York,2024,1,2024-01,1
54432,2023-12-31,Incidents / Events,Antisemitism,Maryland,2023,12,2023-12,4
55032,2023-12-31,Incidents / Events,Antisemitism,North Carolina,2023,12,2023-12,4
63538,2024-01-02,Publications,Antisemitism,Arizona,2024,1,2024-01,1
63924,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63587,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63725,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63641,2024-01-01,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
63680,2024-01-02,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
63449,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63704,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63610,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63893,2024-01-02,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
63847,2024-01-02,Numbers / Symbols,Antisemitism,Massachusetts,2024,1,2024-01,1
63442,2024-01-02,Slogans / Code words,Antisemitism,Alaska,2024,1,2024-01,1
63743,2024-01-02,Slogans / Code words,Antisemitism,Vermont,2024,1,2024-01,1
63485,2024-01-03,Numbers / Symbols,Antisemitism,Maryland,2024,1,2024-01,1
63727,2024-01-03,Key Concepts / Definitions,Antisemitism,North Carolina,2024,1,2024-01,1
63591,2024-01-03,Slogans / Code words,Antisemitism,Illinois,2024,1,2024-01,1
63919,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63584,2024-01-02,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
63798,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63568,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63553,2024-01-03,Incidents / Events,Antisemitism,Michigan,2024,1,2024-01,1
63645,2024-01-02,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
63886,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63612,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63906,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63601,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63496,2024-01-03,Incidents / Events,Antisemitism,Michigan,2024,1,2024-01,1
63770,2024-01-03,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
63448,2024-01-03,Incidents / Events,Antisemitism,Michigan,2024,1,2024-01,1
63833,2024-01-03,Key Concepts / Definitions,Antisemitism,North Carolina,2024,1,2024-01,1
55026,2023-12-31,Incidents / Events,Antisemitism,Texas,2023,12,2023-12,4
63750,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
54426,2023-12-31,People,Antisemitism,California,2023,12,2023-12,4
63684,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63912,2024-01-04,Slogans / Code words,Antisemitism,Washington D.C.,2024,1,2024-01,1
63487,2024-01-03,Groups / Movements,Antisemitism,Maryland,2024,1,2024-01,1
55018,2023-12-31,Incidents / Events,Antisemitism,Texas,2023,12,2023-12,4
63552,2024-01-03,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,New York,2024,1,2024-01,1
63923,2024-01-04,Numbers / Symbols,Antisemitism,Massachusetts,2024,1,2024-01,1
63444,2024-01-04,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
63497,2024-01-03,Incidents / Events,Antisemitism,North Carolina,2024,1,2024-01,1
63845,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63920,2024-01-04,Numbers / Symbols,Antisemitism,Oregon,2024,1,2024-01,1
63609,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63841,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63848,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
63901,2024-01-02,Key Concepts / Definitions,Antisemitism,California,2024,1,2024-01,1
68924,2024-01-01,Slogans / Code words,Antisemitism,Pennsylvania,2024,1,2024-01,1
63780,2024-01-05,Numbers / Symbols,Antisemitism,Vermont,2024,1,2024-01,1
63686,2024-01-03,Groups / Movements,Antisemitism,California,2024,1,2024-01,1
63892,2024-01-02,Incidents / Events,Antisemitism,New York,2024,1,2024-01,1
